Project Name,AC TEST PROGRAM
Project ID,19586
HMIS Project Type,
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,My Sample Organization
Organization ID,DSI
Project Name,After School
Project ID,18043
HMIS Project Type,100
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,My Sample Organization
Organization ID,DSI
Project Name,Art Show
Project ID,17947
HMIS Project Type,
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,My Sample Organization
Organization ID,DSI
Project Name,Basic Needs
Project ID,19529
HMIS Project Type,
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,My Sample Organization
Organization ID,DSI
Project Name,C.A.R.E.
Project ID,19315
HMIS Project Type,7
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,My Sample Organization
Organization ID,DSI
Project Name,Closed ESG Project
Project ID,19697
HMIS Project Type,13
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,My Sample Organization
Organization ID,DSI
Project Name,Colors of Success
Project ID,19280
HMIS Project Type,7
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,My Sample Organization
Organization ID,DSI
Project Name,Community Council
Project ID,19478
HMIS Project Type,2
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,My Sample Organization
Organization ID,DSI
Project Name,Community Network Alliance
Project ID,19528
HMIS Project Type,
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,My Sample Organization
Organization ID,DSI
Project Name,Community Resources
Project ID,19377
HMIS Project Type,5
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,My Sample Organization
Organization ID,DSI
Project Name,Coord Assessment
Project ID,19564
HMIS Project Type,1
Method for Tracking ES,0
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,My Sample Organization
Organization ID,DSI
Project Name,Destinations
Project ID,17917
HMIS Project Type,2
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,My Sample Organization
Organization ID,DSI
Project Name,Emergency Shelter
Project ID,19304
HMIS Project Type,1
Method for Tracking ES,0
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,My Sample Organization
Organization ID,DSI
Project Name,Encounter Based Assistance
Project ID,17915
HMIS Project Type,1
Method for Tracking ES,0
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,My Sample Organization
Organization ID,DSI
Project Name,Facility Base New
Project ID,17974
HMIS Project Type,1
Method for Tracking ES,0
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,My Sample Organization
Organization ID,DSI
Project Name,Facility Based Rental Units
Project ID,17982
HMIS Project Type,1
Method for Tracking ES,0
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,My Sample Organization
Organization ID,DSI
Project Name,Feed the Hungry
Project ID,17926
HMIS Project Type,6
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,0
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,My Sample Organization
Organization ID,DSI
Project Name,Glen Cove Hope Care
Project ID,17975
HMIS Project Type,3
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,My Sample Organization
Organization ID,DSI
Project Name,Heating Test Program
Project ID,19510
HMIS Project Type,
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,My Sample Organization
Organization ID,DSI
Project Name,Homeless Outreach
Project ID,19246
HMIS Project Type,4
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,My Sample Organization
Organization ID,DSI
Project Name,Homeless Prevention
Project ID,19376
HMIS Project Type,5
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,My Sample Organization
Organization ID,DSI
Project Name,Homeless Prevention - SSVF
Project ID,19537
HMIS Project Type,12
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,My Sample Organization
Organization ID,DSI
Project Name,Homeless Teen Home
Project ID,17930
HMIS Project Type,2
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,My Sample Organization
Organization ID,DSI
Project Name,HOPWA
Project ID,17978
HMIS Project Type,1
Method for Tracking ES,0
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,My Sample Organization
Organization ID,DSI
Project Name,HOPWA Permanent Cap Fund
Project ID,18067
HMIS Project Type,1
Method for Tracking ES,0
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,My Sample Organization
Organization ID,DSI
Project Name,HPRP
Project ID,19245
HMIS Project Type,5
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,My Sample Organization
Organization ID,DSI
Project Name,HUD Outreach
Project ID,19511
HMIS Project Type,4
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,My Sample Organization
Organization ID,DSI
Project Name,Individualized Care Planning
Project ID,17980
HMIS Project Type,6
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,0
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,My Sample Organization
Organization ID,DSI
Project Name,jane Prog
Project ID,17958
HMIS Project Type,10
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,My Sample Organization
Organization ID,DSI
Project Name,Job Training
Project ID,17920
HMIS Project Type,7
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,My Sample Organization
Organization ID,DSI
Project Name,Medi-cal
Project ID,17913
HMIS Project Type,6
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,0
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,My Sample Organization
Organization ID,DSI
Project Name,Medicaid
Project ID,17914
HMIS Project Type,6
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,0
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,My Sample Organization
Organization ID,DSI
Project Name,Mens Services
Project ID,17953
HMIS Project Type,2
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,My Sample Organization
Organization ID,DSI
Project Name,My Site
Project ID,17923
HMIS Project Type,1
Method for Tracking ES,0
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,My Sample Organization
Organization ID,DSI
Project Name,Non Hopwa Facility
Project ID,17977
HMIS Project Type,3
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,My Sample Organization
Organization ID,DSI
Project Name,Non Hopwa Facility New
Project ID,17976
HMIS Project Type,3
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,My Sample Organization
Organization ID,DSI
Project Name,Out of school outreach
Project ID,17921
HMIS Project Type,4
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,My Sample Organization
Organization ID,DSI
Project Name,PATH outreach
Project ID,19558
HMIS Project Type,4
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,My Sample Organization
Organization ID,DSI
Project Name,PATH Services Only
Project ID,19592
HMIS Project Type,6
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,1
Identify the Project ID's of the housing projects this project is affiliated with,17891
Organization Name,My Sample Organization
Organization ID,DSI
Project Name,Permanent Placement
Project ID,17979
HMIS Project Type,3
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,My Sample Organization
Organization ID,DSI
Project Name,Permanent Supportive Housing
Project ID,19524
HMIS Project Type,4
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,My Sample Organization
Organization ID,DSI
Project Name,Prevent Homelessness for Veteran's Families
Project ID,19556
HMIS Project Type,12
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,My Sample Organization
Organization ID,DSI
Project Name,Program that is Facilty-based
Project ID,17967
HMIS Project Type,
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,My Sample Organization
Organization ID,DSI
Project Name,Program that is Tenant-based Rental Assistance
Project ID,17968
HMIS Project Type,9
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,My Sample Organization
Organization ID,DSI
Project Name,Project Based Assistance
Project ID,17922
HMIS Project Type,5
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,My Sample Organization
Organization ID,DSI
Project Name,RHY Demonstration Programs
Project ID,19579
HMIS Project Type,6
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,0
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,My Sample Organization
Organization ID,DSI
Project Name,RHY Emergency Shelter
Project ID,19599
HMIS Project Type,1
Method for Tracking ES,3
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,My Sample Organization
Organization ID,DSI
Project Name,RHY MGH
Project ID,19574
HMIS Project Type,3
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,My Sample Organization
Organization ID,DSI
Project Name,RHY SOP
Project ID,19577
HMIS Project Type,4
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,My Sample Organization
Organization ID,DSI
Project Name,RHY TLP
Project ID,19578
HMIS Project Type,2
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,My Sample Organization
Organization ID,DSI
Project Name,Ryan White Part A
Project ID,18681
HMIS Project Type,
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,My Sample Organization
Organization ID,DSI
Project Name,SEEDS
Project ID,19264
HMIS Project Type,1
Method for Tracking ES,0
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,My Sample Organization
Organization ID,DSI
Project Name,Short Term Rental Assitance
Project ID,17969
HMIS Project Type,9
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,My Sample Organization
Organization ID,DSI
Project Name,Suportive Services Only
Project ID,17971
HMIS Project Type,6
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,1
Identify the Project ID's of the housing projects this project is affiliated with,"19539,19590"
Organization Name,My Sample Organization
Organization ID,DSI
Project Name,TANF
Project ID,17916
HMIS Project Type,6
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,0
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,My Sample Organization
Organization ID,DSI
Project Name,Teen Writing
Project ID,17946
HMIS Project Type,11
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,My Sample Organization
Organization ID,DSI
Project Name,test program
Project ID,17957
HMIS Project Type,2
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,My Sample Organization
Organization ID,DSI
Project Name,Tonya's Cope with Abuse Program
Project ID,17950
HMIS Project Type,13
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,My Sample Organization
Organization ID,DSI
Project Name,Tonya's Educate Homeless Program
Project ID,17951
HMIS Project Type,5
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,My Sample Organization
Organization ID,DSI
Project Name,Transitional Housing
Project ID,17919
HMIS Project Type,2
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,My Sample Organization
Organization ID,DSI
Project Name,VAWA Program
Project ID,19621
HMIS Project Type,251
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,My Sample Organization
Organization ID,DSI
Project Name,VAWA Program 1
Project ID,19622
HMIS Project Type,251
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,My Sample Organization
Organization ID,DSI
Project Name,VOCA program
Project ID,19619
HMIS Project Type,251
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,My Sample Organization
Organization ID,DSI
Project Name,VOCA Program 2
Project ID,19620
HMIS Project Type,251
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,My Sample Organization
Organization ID,DSI
Project Name,Weatherization
Project ID,17954
HMIS Project Type,
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,My Sample Organization
Organization ID,DSI
Project Name,"Women, Infants & Children"
Project ID,17941
HMIS Project Type,8
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,My Sample Organization
Organization ID,DSI
Project Name,Youth and Their Peers
Project ID,18040
HMIS Project Type,100
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,My Sample Organization
Organization ID,DSI
Project Name,zPossum Lodge ESG-ES e/e
Project ID,19627
HMIS Project Type,1
Method for Tracking ES,0
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,Fresh Start
Organization ID,FS 
Project Name,Alan's Test
Project ID,17905
HMIS Project Type,
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,Fresh Start
Organization ID,FS 
Project Name,B's 2 Test Program 
Project ID,17893
HMIS Project Type,
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,Fresh Start
Organization ID,FS 
Project Name,Goodbye Cruel World
Project ID,17896
HMIS Project Type,
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,Fresh Start
Organization ID,FS 
Project Name,Homeless ES
Project ID,1
HMIS Project Type,1
Method for Tracking ES,3
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,Fresh Start
Organization ID,FS 
Project Name,Homeless Program 2
Project ID,2
HMIS Project Type,
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,Fresh Start
Organization ID,FS 
Project Name,Test AC1
Project ID,19623
HMIS Project Type,1
Method for Tracking ES,0
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,Fresh Start
Organization ID,FS 
Project Name,Test AC2
Project ID,19624
HMIS Project Type,1
Method for Tracking ES,0
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,Fresh Start
Organization ID,FS 
Project Name,Test Program 1
Project ID,17894
HMIS Project Type,
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,Fresh Start
Organization ID,FS 
Project Name,Test test
Project ID,17910
HMIS Project Type,1
Method for Tracking ES,0
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,Fresh Start
Organization ID,FS 
Project Name,Utility Based Assistance
Project ID,4
HMIS Project Type,
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,Indy
Organization ID,IND
Project Name,JeffTestProgram
Project ID,17933
HMIS Project Type,7
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,LIHEAP Test Organization
Organization ID,LIH
Project Name,LIHEAP
Project ID,19523
HMIS Project Type,
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,Omnibus Services
Organization ID,LSA
Project Name,Emergency Shelter - Entry/Exit Date
Project ID,19851
HMIS Project Type,1
Method for Tracking ES,0
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,Omnibus Services
Organization ID,LSA
Project Name,Emergency Shelter - Night-by-Night
Project ID,19850
HMIS Project Type,1
Method for Tracking ES,3
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,Omnibus Services
Organization ID,LSA
Project Name,LSA Exclude Test
Project ID,19862
HMIS Project Type,2
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,Omnibus Services
Organization ID,LSA
Project Name,LSA Exclude Test 2
Project ID,19863
HMIS Project Type,2
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,Omnibus Services
Organization ID,LSA
Project Name,Omnibus Extra Inventory
Project ID,19860
HMIS Project Type,9
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,Omnibus Services
Organization ID,LSA
Project Name,Permanent Supportive Housing
Project ID,19854
HMIS Project Type,3
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,Omnibus Services
Organization ID,LSA
Project Name,RRH
Project ID,19853
HMIS Project Type,13
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,Omnibus Services
Organization ID,LSA
Project Name,Street Outreach
Project ID,19849
HMIS Project Type,4
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,Omnibus Services
Organization ID,LSA
Project Name,Transitional Housing
Project ID,19852
HMIS Project Type,2
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,MAACLink
Organization ID,ML 
Project Name,Compassion Fatigue
Project ID,17929
HMIS Project Type,7
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,OO
Organization ID,o1 
Project Name,2 Char OrgID check
Project ID,19813
HMIS Project Type,3
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,Possum Lodge 2
Organization ID,POS
Project Name,2 Adult Youth
Project ID,19855
HMIS Project Type,3
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,Possum Lodge 2
Organization ID,POS
Project Name,2017 AHAR ES e/e
Project ID,19754
HMIS Project Type,1
Method for Tracking ES,0
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,Possum Lodge 2
Organization ID,POS
Project Name,2017 AHAR ES nbn
Project ID,19757
HMIS Project Type,1
Method for Tracking ES,3
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,Possum Lodge 2
Organization ID,POS
Project Name,2017 AHAR PSH
Project ID,19756
HMIS Project Type,3
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,Possum Lodge 2
Organization ID,POS
Project Name,2017 AHAR TH
Project ID,19755
HMIS Project Type,2
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,Possum Lodge 2
Organization ID,POS
Project Name,2018 PIT ES e/e
Project ID,19839
HMIS Project Type,1
Method for Tracking ES,0
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,Possum Lodge 2
Organization ID,POS
Project Name,2018 PIT ES e/e - Chronic
Project ID,19844
HMIS Project Type,1
Method for Tracking ES,0
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,Possum Lodge 2
Organization ID,POS
Project Name,2018 PIT ES nbn
Project ID,19842
HMIS Project Type,1
Method for Tracking ES,3
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,Possum Lodge 2
Organization ID,POS
Project Name,2018 PIT ES NBN - Chronic
Project ID,19843
HMIS Project Type,1
